step,seed,budget,total_allocation,unallocated_budget,budget_utilization,reward,delta_lbr,delta_f,fairness_violation,fairness_cost,feasible,budget_respected,cap_respected,eligibility_ok,non_negative,log_prob,entropy
43,1001,505075023.6795088,505075023.67950875,5.960464477539063e-08,0.9999999999999999,0.001507185048544032,0.0185350908179419,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
44,1001,448118184.5258307,448118184.5258307,0.0,1.0,0.0013703044041350186,0.018686767880931994,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
45,1001,440635137.4218692,440635137.4218692,0.0,1.0,0.0013485601739526276,0.018819304156959253,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
46,1001,454367117.3217425,454367117.3217425,0.0,1.0,0.0014139660523028975,0.018938271988162617,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
47,1001,416823971.55310345,416823971.5531034,5.960464477539063e-08,0.9999999999999999,0.0013213005637115575,0.019102054520709722,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
48,1001,505880160.91350335,505880160.9135033,5.960464477539063e-08,0.9999999999999999,0.001544924679333192,0.019161859899358872,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
49,1001,484646708.50527155,484646708.50527155,0.0,1.0,0.0015489881374549145,0.01922690952296423,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
50,1001,445032083.3873434,445032083.3873434,0.0,1.0,0.0014106215258006297,0.019351645071678893,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
51,1001,439850538.6836333,439850538.6836333,0.0,1.0,0.0013963113947326991,0.01943670439267793,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
52,1001,482452450.001261,482452450.001261,0.0,1.0,0.001497027178581053,0.019545677642759655,0.02,0,0.0,1,1,1,1,1,-27.88361358642578,42.88361358642578
